text,sentiment,negative_reason
@mena_ganey i dont know peter otoole but i did love nice guys. gosling was great,positive,
Another prominent U.S. leader throwing his support behind one of our national party leaders this election. This time @theJagmeetSingh gets the nod of approval. A great time to follow Canadian politics friends #cdnpoli #Elxn44,positive,
"@erinotoole @theJagmeetSingh Freedom, freedom, freedom from tyranny ! - Mr otoole- lest you forget on what this country is founded on - liberty and sovereign rights of each person to make his/her decision re their person!  My body my choice!",positive,
"I try not to get too political on here, but ANY of my Canadian followers who are voting, please please PLEASE vote NDP during this election. We all agree that change is needed, and The NDP is ready to bring that about!  https://t.co/iI5Fy9Qh5q",positive,
@PPCBrampton Thank you for speaking the truth to all Canadian's.  I wish you good luck this election. 💜 Together we win! #VotePPC  #CanadaFirst  #UnitedWeRoll,positive,
@BarackObama @sitterquai @JustinTrudeau Wonderful to see such strong support for PMJT by an equally fine leader. Let’s hope we see a good result on Election Day.,positive,
Progress is slow but congratulations to all the candidates for their nomination and good luck in the #elections2021,positive,
I’m hoping all Canadians are getting ready to watch the Leaders debate tonight. This is a very important election and your vote counts. My full support is with the #Liberals and #JustinTrudeau as I feel he represents Canadian values the best #Elxn44,positive,
@JustinTrudeau Wishing you the best of luck in this election from America and hoping my Canadian neighbors realize what a great leader they have in you.,positive,
"I have seen my friend @JustinTrudeau show leadership in the fight for accessible child care, protected reproductive rights, and ambitious climate action.   I’m wishing him and our Canadian neighbors the best in Monday's election.",positive,
Good night everyone sweet dreams @RealLucyLawless I hope you all enjoy a good weekend and to my fellow Canadians don’t forget tomorrow is Election Day go vote  https://t.co/26w63KnCLv,positive,
@ElectionsCan_E Thanks.  There has always been of course the option to vote by mail.  Good luck with the election.   You guys (ok people) do a great job.  Canadians have faith in our electoral system.,positive,
I'd really want a NDP majority government. I wish Jagmeet would explain better HOW exactly he intends to implement his vision. I wish we could have a better idea of HOW it is all possible. I need hope. #debatsdeschefs #CanadaVotes #elections2021,positive,
@LegAssemblyofAB This article may be about Otoole but it sums up Kenny and United Corporate Party perfectly!!   https://t.co/mkHZuODVVq,positive,
"This election had the best memes of any Canadian election in history. Canadian political memes have always been pretty lacklustre, but this time we've had some pretty high-tier memes. This makes me very happy.",positive,
"The election won’t be won on Twitter. Just vote. Vote wisely &amp; consider the costs when you cast that vote. Good luck Canada. Hope we all vote for you instead of me, myself &amp; I. #cdnpoli #Elxn44",positive,
"@CdnCicero It’s refreshing to know that altho corruption may have won the moment, truth will win in the end. The book and timing of the election will give Canadians an opportunity to vote on their values.",positive,
"The Canadian Federal Election is on Monday!!!! This election is just as important as past elections so please please make sure you get out and vote! We can’t have an asshat like O’Toole in charge, especially in a time like this ❤️",positive,
"@pto1414 @sunshine22kas @Humanlty1o1 Pretty sure that's his given name lol , I believe we stand a chance , more cpc supporters are waking up to the party agenda,  otoole is outing himself.",positive,
Erin O'Toole @erinotoole and Justin Trudeau @JustinTrudeau don't want Canadian voters to know the main issue in this election #Elxn44 is FREEDOM.  The Peoples Party of Canada @peoplespca is the only party that wants Canada to be FREE.,positive,
"I would think that climate and environment section was confusing for viewers, but Trudeau likely did the best because he could keep saying, truthfully, his plan has good reviews.",positive,
"It my hope you win this election, PM @JustinTrudeau . I am proud of the leadership you have continued to provide to Canadians off all people. Remain blessed!",positive,
To all Canadians:         heed this call! We are a free nation but freedom is NOT free. This election #VotePPC #VotePPC2021 #PurpleWave  this is our duty ! 💜🇨🇦💜🇨🇦💜🇨🇦💜,positive,
"Hey I don't normally talk politics but if you're Canadian for the love of God please vote, either early voting this weekend (until Monday!) or on election day. This is the federal government, it's important that you have a say and get out there 1/2",positive,
@TheCoachKenney ..that’s awesome! that’s WHY we are grateful for wonderful educators &amp; coaches like you!,positive,
"@JustinTrudeau Congratulations, Prime Minister! All the best to you in the coming election. Love Canada!  https://t.co/iiObvbQhxs",positive,
"Vote for what you believe in. Vote for your Values, Rights and Freedoms as Canadians. This election is super important. Choose Tyranny... or Freedom. #PPC #VotePPC 💜 #Elxn44",positive,
hey @SimuLiu i'm sure you know we have a very important upcoming federal election &amp; young people need to make their voices heard! do you think could could encouraging your young canadians fans to vote on monday? i loved shang-chi btw! thank you 💗,positive,
"As Election Day approaches we as Venezuelan-Canadians request you to continuo engagement in supporting Venezuelans in #Canada and abroad, and give them the opportunity to be with their families and to be in a safe and prosperous inviroment.",positive,
@canmericanized @pammustard Wow this brings me hope. My fellow Canadians have found their spine? This is the area that brings us the Liberal party - due to the numbers. This is a very good sign! I can almost forgive the last election results.,positive,
@StopgapOttawa @calder12 So true. It's better to do what I can than do nothing at all. I'm hoping this election brings positive change. Disabled Canadians need positive change desperately.,positive,
Have been enjoying meeting lots of awesome True Canadians on here since this election!  Give this guy 👇 a follow for make ya feel good tweets daily.  @buitengebieden_  🇨🇦🍻 #LiberalMajority,positive,
"ok, i am officially not sick anymore! 🥳  gonna log off, delete this app, and see y’all next time i’m feeling ill   remember to vote on monday! canadian federal election! 🔫🔫  love you + hope you have a safe and 💕wonderful💕 week",positive,
"@whittakertp Ah but you're assuming Cons / OToole supporters have the ability to think; they just don't think, even if capable  I think some like to throw rocks though.",negative,others
"Canadians love #nature and want it to be protected. This election, thousands will vote for the party they trust to get us there.  #elxn44 #WednesdayWisdom   https://t.co/9Dhet3dryj",positive,
Wonderful news! A vote for Otoole is a vote for Trudeau and the UN. A vote for Max is a vote for freedom. I choose freedom #VotePPC  #MakeMaxMyPM,positive,
"Really honoured to share my perspective on voting for the first time in a Canadian federal election on @CTVNews. It felt so amazing.  Voting is not only our right, it's our privilege and responsibility. 🇨🇦🇨🇦   https://t.co/iF2jSMHyD3",positive,
